"UniqueID","LM.flux","LM.C0","LM.Ct","LM.slope","LM.MAE","LM.RMSE","LM.AICc","LM.SE","LM.se.rel","LM.r2","LM.p.val","HM.flux","HM.C0","HM.Ci","HM.slope","HM.MAE","HM.RMSE","HM.AICc","HM.SE","HM.se.rel","HM.r2","HM.k","C0","Ct","MDF","prec","flux.term","nb.obs","k.max","k.mult","g.fact","HM.diagnose","LM.diagnose","best.flux","model","quality.check","HM.score","LM.score","SE.lim","g.limit","k.ratio.lim","MDF.lim","total_estimated","ebullition","diffusion"
"S1-VA-P2-20-vegetated-dark",20.2493286655443,2053.59561450366,2279.42681352615,0.818228981965569,18.4977368809444,21.8078130060955,2508.75859070395,0.404801378919706,1.99908542947651,0.900298313735618,2.03156479591063e-140,22.0488398463542,2050.36324467269,3475.0937758678,0.890943106262202,18.5566104471879,21.7758699492864,2510.00251997846,1.70853674360404,7.74887366187909,0.900590176489329,0.000625341485112169,2032.1985092,2398.01175681129,0.0536052409498573,0.6,24.7477529051841,278,1.36371496994261,1,1.08886769583981,"Noise (HM.SE)","Noise (LM.SE)",22.0488398463542,"LM","SE",1,0,0.035985608634244,2,1,0.054,NA,NA,NA
"S1-VA-P2-21-bare-dark",0.0923160152991996,1995.57188735212,2001.21629117353,0.0165041047409543,2.0956509457771,10.7584051172693,2616.77317554652,0.0327683047560543,35.4957963142701,0.0198230486244275,0.00512532456478476,0.092248234052427,1995.57214778406,5183.73722123017,0.0164919869216075,2.09346967003696,10.7584519159083,2618.82357417795,0.130417549905315,141.376744221678,0.0198146694235748,5.17287735787821e-06,1998.41821346755,2196.5180146,0.00978458047757308,0.6,5.59351850634595,344,0.0275068412349238,1,0.999265769362413,"Noise (HM.SE)","",0.092248234052427,"LM","",1,0,0.0323498319610315,2,1,0.0098,NA,NA,NA
"S1-VA-P2-22-vegetated-transparent",0.615953395685702,1994.06704634272,2001.45635163577,0.0244678983213647,2.42331875912737,6.20949081831185,1979.05059863032,0.102499819268055,16.6408400352998,0.103846800409407,5.35785671272199e-09,0.61554152230267,1994.06741952733,6149.92961329026,0.024451537219814,2.42087587421616,6.20963324459985,1981.11832335199,0.406670432881318,66.067099967523,0.103806313496068,5.88362560638094e-06,1994.2576872158,2028.40804892582,0.0498493854440336,0.6,25.173939649237,304,0.0407798305356078,1,0.999331323788592,"Noise (HM.SE)","Noise (LM.SE)",0.61554152230267,"LM","SE",1,0,0.0344123600805843,2,1,0.05,NA,NA,NA
"S1-VA-P2-23-vegetated-dark",0.290420152627578,1995.99070638183,1999.49099088571,0.011552094072189,1.86809443274884,5.49011138687932,1910.43085153657,0.0900573146573304,31.0093200635481,0.0299922972735919,0.00139811845653108,0.29013656290279,1995.99104501625,4720.14362956503,0.01154081367326,1.86714121091663,5.49014887225915,1912.48861559412,0.357826111571201,123.330237316932,0.029979261741016,4.23647843322684e-06,1996.2799255,2006.97005499009,0.0496185077854959,0.6,25.1400439446513,305,0.019253490120315,1,0.999023519124888,"Noise (HM.SE)","Noise (LM.SE)",0.29013656290279,"LM","SE",1,0,0.0343559000588321,2,1,0.05,NA,NA,NA
"S1-VA-P2-24-bare-dark",0.0247288278362652,1996.37871748163,1997.67431959127,0.00442185020354593,0.953201447622874,1.19030810629431,946.041398831115,0.00456663344422829,18.4668415117163,0.0878726838594296,1.27756028888504e-07,0.0524593257699094,1996.17499747776,1997.85373941314,0.00938043977941293,0.946888307689037,1.18721622516175,946.562309075003,0.0316730666525139,60.3764272370453,0.0926051164751089,0.00558777950425198,1995.8567165,1997.44301754028,0.0114130948044655,0.6,5.59241645418809,295,0.00736975033924322,1,2.12138343625721,"Overestimated flux (g-fact)","",0.0247288278362652,"LM","g-fact. > 2",0,1,0.0349333505843749,2,1,0.011,NA,NA,NA
"S1-VA-P2-25-vegetated-transparent",-0.206314425751758,2000.12139402014,1997.60545939209,-0.00819522680146814,1.55321418020664,3.21001299710472,1603.74064344005,0.0517059637798703,-25.0617297319209,0.0462071673543394,8.26354536567871e-05,-1.39121832824196,2001.94935502991,1997.90343825068,-0.055262009376022,1.53899539434717,3.12220363813942,1588.6527233831,0.712637140529738,-51.2239614777268,0.0976751379225064,0.0136587113357802,1997.51014162811,1967.53761833291,0.0490421105764798,0.6,25.1749500959263,309,0.0136587113357802,1,6.74319463204142,"Noise (HM.SE) | Overestimated flux (g-fact)","Noise (LM.SE)",-0.206314425751758,"LM","SE | g-fact. > 2",1,0,0.0341328074393145,2,1,0.049,NA,NA,NA
"S1-VA-P2-26-vegetated-dark",0.000542308016271035,1999.30998375627,1999.31748426611,2.1553189173935e-05,0.990923596898258,1.25777957424944,1159.86988401471,0.0167908916159057,3096.19093063783,-0.0028705570716463,0.974253119013222,0.000618200476877032,1999.30947817433,1999.9934442508,2.4569417057793e-05,0.990921246228125,1.25777904012846,1161.91616462407,0.0385085964080966,6229.14375650934,-0.00286970532608333,3.59219819565583e-05,1998.61364317432,2000.17546156697,0.043257389471983,0.6,25.1613815428701,350,3.59219819565583e-05,1,1.13994346078054,"MDF (HM)","MDF (LM)",0.000542308016271035,"HM","MDF",0,1,0.0320713490294909,2,1,0.043,NA,NA,NA
"S1-VA-P2-27-bare-dark",0.00486532776360023,1996.15909168659,1996.21920312925,0.000193284381556726,1.04014451837898,1.7921030196932,1259.53520747086,0.0283104401316309,581.881458088691,-0.0031201712401081,0.86366226712736,0.00652024745592121,1996.1502111989,1996.95429854175,0.000259029207968916,1.03988936058302,1.79204971514422,1261.5687875942,0.116712688447184,1790.00397203015,-0.00306049824979238,0.000322140635927876,1995.16992134342,2007.90545944723,0.0484074267668602,0.6,25.1718619187673,313,0.000322140635927876,1,1.34014557142526,"Noise (HM.SE) | MDF (HM)","MDF (LM)",0.00652024745592121,"LM","MDF",1,0,0.0339140051366533,2,1,0.048,NA,NA,NA
"S1-VA-P2-28-openwater-transparent",1.92042826835795,2003.04064246368,2132.79365646707,0.43687883502826,10.4708421295405,31.1599036079884,2911.20761106006,0.0920824317925961,4.79489045801906,0.59287014054835,4.03451914977138e-60,3.7925386345783,1984.9727424282,2159.62803491493,0.862765815195451,9.46671217499795,30.1602970903832,2893.76408063191,0.587244694387447,15.4842112624317,0.618572523554891,0.00493982061987022,2001.21406798796,2107.36259,0.00885058690727118,0.6,4.39579149727802,299,0.728131391713766,1,1.97484003806145,"Noise (HM.SE)","Noise (LM.SE)",3.7925386345783,"LM","SE",1,0,0.0346988959179744,2,1,0.0089,NA,NA,NA
"S1-VA-P2-4-vegetated-transparent",1.3986237368641,2012.87952319979,2045.29888191829,0.0648387174369917,2.60684684243869,6.84819122258196,3362.34298066573,0.0455874308646294,3.25944924736101,0.652388508255882,5.02222957793042e-117,1.42149180746237,2012.79126027308,3006.85047052191,0.0658988570076064,2.60831462066805,6.8483414661712,3364.3972974709,0.183769893175422,12.9279600635536,0.652373429236837,6.62926879286302e-05,2015.0286916,2036.3364177,0.0258333069109534,0.6,21.5708112706461,502,0.108064529061653,1,1.01635040933135,"Noise (HM.SE)","",1.42149180746237,"LM","",1,0,0.0267793105606471,2,1,0.026,1.47264397217671,0.0582026472302455,1.41444132494646
"S1-VA-P2-5-vegetated-dark",0.775799884901366,2047.65891457899,2065.0017738243,0.0359810357786649,1.67682731941523,2.25747320123304,2167.7727590597,0.0158679682494574,2.04536872952421,0.831843484415111,6.02529315747896e-189,1.10712811085191,2046.51916778108,2080.01130594873,0.0513477985024357,1.68268884418889,2.19817174656299,2144.03796633298,0.0802239544882552,7.24613111182995,0.840562037494379,0.00153312990187153,2048.43298688077,2067.15888370365,0.0267842918981868,0.6,21.5613549780404,484,0.0599683929644415,1,1.42707949871978,"Noise (HM.SE)","",1.10712811085191,"LM","",1,0,0.0272727272727273,2,1,0.027,0.593477003260146,-0.410572307404102,1.00404931066425
"S1-VA-P2-6-bare-transparent",1.06402960061056,2005.58897252085,2021.03069597963,0.049334579740512,1.7511772312075,2.49071316904125,1474.92696846173,0.0333915123547767,3.13821272788052,0.763624621546635,2.9086545627256e-100,1.06583019989137,2005.58417414451,4766.64133234551,0.0494180659600205,1.75236545026192,2.49189565264432,1477.2778562581,0.132961688396048,12.4749409811806,0.763402277631643,1.78982408289654e-05,2007.49400776945,2010.86696572808,0.0412120178478974,0.6,21.567622673733,315,0.0822242995675201,1,1.00169224547868,"Noise (HM.SE)","",1.06583019989137,"LM","",1,0,0.0338061701891407,2,1,0.041,1.12760216285466,0.0707771348317237,1.05682502802293
"S1-VA-P2-7-bare-dark",1.20478676046324,2024.34946097048,2041.38696903718,0.0558606821859144,1.48985095036737,1.86382819187059,1259.60384703552,0.0259725423546976,2.15577919736693,0.875445112041585,3.26395891714204e-140,1.27909813225327,2024.17872650704,2173.86034752033,0.0593061748312404,1.48974213652839,1.86223556744688,1261.13220768382,0.107722492174185,8.4217535353929,0.875657883159855,0.000396215476754988,2024.61505688535,2040.93922442026,0.0422896192609719,0.6,21.5677058230957,307,0.0931011369765241,1,1.06168010325865,"Noise (HM.SE)","",1.27909813225327,"LM","",1,0,0.034243808732121,2,1,0.042,1.20799288409537,0.119308779243837,1.08868410485153
"S1-VA-P2-8-vegetated-transparent",0.298973452171652,2020.56473949236,2023.09835354537,0.00779573554774935,11.1974606412052,22.9496296664795,2983.23948121647,0.517195132212999,172.990320196075,-0.00204662957140989,0.563619180391135,7.41747220304193,2010.46332007781,2025.34920138098,0.193410656724455,10.8728863415221,22.6389189931205,2976.37453428837,7.29285456804835,98.3199446983774,0.0249027335690855,0.0129928925795823,2005.8928059,2021.3996541,0.070584473275437,0.6,38.3508971463208,327,0.0129928925795823,1,24.8098021719443,"Noise (HM.SE) | Overestimated flux (g-fact)","Noise (LM.SE)",0.298973452171652,"LM","SE | g-fact. > 2",1,0,0.0331800758165599,2,1,0.071,1.72638307780864,-0.224927515026919,1.95131059283556
"S1-VA-P2-9-vegetated-dark",-0.501156461580599,2036.47244125847,2032.02627867486,-0.013076948775315,8.22673233069302,20.1947117966916,3032.33277470633,0.425139527140274,-84.8316962330337,0.00114116093076122,0.239300249373509,-20.5541735874791,2055.45493078111,2030.84683910134,-0.536331257257811,8.66730299032075,19.4358729423272,3008.18305890746,11.2711670597575,-54.8363913138471,0.0747972809532069,0.0217949146255251,2029.02345806172,2039.40617001357,0.0674316494471218,0.6,38.3236541024475,342,0.0217949146255251,1,41.0134861329599,"Noise (HM.SE) | Overestimated flux (g-fact)","Noise (LM.SE)",-0.501156461580599,"LM","SE | g-fact. > 2",1,0,0.0324442842261525,2,1,0.067,2.24536285627144,2.15867650542343,0.0866863508480138
